DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
AvenidaNuestraSenioradeFatima_15,Avenida,Nuestra Señora de Fátima,15,CARABANCHEL,436817.76,4470851.96,LUNES_MAÑANA_8:45_10:15,"Avenida Nuestra Señora de Fátima, 15"
CalleVillasandino_35,Calle,Villasandino,35,LATINA,436111.45,4473060.11,LUNES_MAÑANA_8:45_10:15,"Calle Villasandino, 35"
AvenidaCardenalHerreraOria_259,Avenida,Cardenal Herrera Oria,259,FUENCARRAL,438776.03,4481302.62,LUNES_MAÑANA_10:30_12:00,"Avenida Cardenal Herrera Oria, 259"
AvenidaMenendezPelayo_95,Avenida,Menéndez Pelayo,95,RETIRO,442376.92,4473120.55,LUNES_MAÑANA_10:30_12:00,"Avenida Menéndez Pelayo, 95"
CalleAntonioLeyva_77FrentealInstitutoCarderondelaBarca,Calle,Antonio Leyva,77,CARABANCHEL,439173.82,4471034.73,LUNES_MAÑANA_10:30_12:00,"Calle Antonio Leyva, 77"
PaseodelosJesuitas_42,Paseo,de los Jesuitas,42,LATINA,437639.27,4473379.86,LUNES_MAÑANA_10:30_12:00,"Paseo de los Jesuitas, 42"
CalleCandidoMateos_17,Calle,Cándido Mateos,17,FUENCARRAL,439092.72,4480602.99,LUNES_MAÑANA_12:15_13:45,"Calle Cándido Mateos, 17"
CalleCarlosDaban_Frentealnumero28,Calle,Carlos Daban,,CARABANCHEL,437905,4472135.59,LUNES_MAÑANA_12:15_13:45,"Calle Carlos Daban, "
CalleDoctorEsquerdo_152,Calle,Doctor Esquerdo,152,RETIRO,442898.22,4472780.66,LUNES_MAÑANA_12:15_13:45,"Calle Doctor Esquerdo, 152"
CalleVirgendeAfrica_14,Calle,Virgen de África,14,CIUDAD LINEAL,444534.76,4476616.93,LUNES_MAÑANA_12:15_13:45,"Calle Virgen de África, 14"
GlorietadelosCarmenes_EntrelassalidasdeCalleGalluryCalleAlhambra,Glorieta,de los Cármenes,,LATINA,436910.15,4471942.57,LUNES_MAÑANA_12:15_13:45,"Glorieta de los Cármenes, "
PlazadelaRemonta_3,Plaza,de la Remonta,3,TETUAN,440857.18,4479555.85,LUNES_MAÑANA_12:15_13:45,"Plaza de la Remonta, 3"
AvenidaAlfonsoXIII_65,Avenida,Alfonso XIII,65,CHAMARTIN,443422.2,4478377.68,LUNES_TARDE_14:00_15:30,"Avenida Alfonso XIII, 65"
AvenidadeAsturias_44,Avenida,de Asturias,44,TETUAN,440918.17,4480247.98,LUNES_TARDE_14:00_15:30,"Avenida de Asturias, 44"
CalleAgastia_42Frentealnumero42,Calle,Agastia,42,CIUDAD LINEAL,444793.35,4477415.59,LUNES_TARDE_14:00_15:30,"Calle Agastia, 42"
CalleLaguna_121,Calle,Laguna,121,CARABANCHEL,437042.39,4471122.03,LUNES_TARDE_14:00_15:30,"Calle Laguna, 121"
CalleOcania_149,Calle,Ocaña,149,LATINA,436073.76,4470917.76,LUNES_TARDE_14:00_15:30,"Calle Ocaña, 149"
CalleSeco_2,Calle,Seco,2,RETIRO,442978.33,4472290.07,LUNES_TARDE_14:00_15:30,"Calle Seco, 2"
CalleFerminCaballero_49-51,Calle,Fermín Caballero,49-51,FUENCARRAL,440114.52,4481748.34,LUNES_TARDE_14:00_15:30,"Calle Fermín Caballero, 49-51"
AvenidaOporto_33,Avenida,Oporto,33,CARABANCHEL,438505.01,4470788.9,LUNES_TARDE_15:45_17:15,"Avenida Oporto, 33"
CalleCamarena_235Frentealnumero296,Calle,Camarena,235,LATINA,435731.09,4470910.54,LUNES_TARDE_15:45_17:15,"Calle Camarena, 235"
CalleCanias_Frentealnumero13,Calle,Cañas,,CIUDAD LINEAL,444088,4478794.51,LUNES_TARDE_15:45_17:15,"Calle Cañas, "
CalleDoctorEsquerdo_94EsquinaAvenidadeNazaret_frentealnumero125,Calle,Doctor Esquerdo,94,RETIRO,443159.45,4473673.17,LUNES_TARDE_15:45_17:15,"Calle Doctor Esquerdo, 94"
CalleJulioPalacios_10,Calle,Julio Palacios,10,FUENCARRAL,443159.45,4473673.17,LUNES_TARDE_15:45_17:15,"Calle Julio Palacios, 10"
PlazadelPeru_InterseccionconAvenidaPioXII,Plaza,del Perú,,CHAMARTIN,442655.01,4479090.61,LUNES_TARDE_15:45_17:15,"Plaza del Perú, "
AvenidaAlbertoAlcocer_28,Avenida,Alberto Alcocer,28,CHAMARTIN,442019.6,4478870.53,LUNES_TARDE_17:30_19:00,"Avenida Alberto Alcocer, 28"
CalleArturoSoria_242,Calle,Arturo Soria,242,CIUDAD LINEAL,443589.38,4479647.5,LUNES_TARDE_17:30_19:00,"Calle Arturo Soria, 242"
CalleClaraCampoamor_Frentealnumero75,Calle,Clara Campoamor,,CARABANCHEL,437794.87,4470145.39,LUNES_TARDE_17:30_19:00,"Calle Clara Campoamor, "
CalleFuentedelTiro_17,Calle,Fuente del Tiro,17,LATINA,433744.17,4470628.25,LUNES_TARDE_17:30_19:00,"Calle Fuente del Tiro, 17"
CalleNarvaez_82,Calle,Narváez,82,RETIRO,442600.3,4474216.15,LUNES_TARDE_17:30_19:00,"Calle Narváez, 82"
CalleNuestraSenioradeValverde_17,Calle,Nuestra Señora de Valverde,17,FUENCARRAL,441802.95,4482622.73,LUNES_TARDE_17:30_19:00,"Calle Nuestra Señora de Valverde, 17"
CallePoetaJoanMaragall_45Frentealnumero54_interseccionconCalledeRosarioPino,Calle,Poeta Joan Maragall,45,TETUAN,441349.29,4479300.46,LUNES_TARDE_17:30_19:00,"Calle Poeta Joan Maragall, 45"
CalleAfuerasaValverde_23,Calle,Afueras a Valverde,23,FUENCARRAL,441617.57,4483190.34,LUNES_TARDE_19:15_20:45,"Calle Afueras a Valverde, 23"
CalleEnriqueLarreta_14,Calle,Enrique Larreta,14,CHAMARTIN,441795.16,4480002.77,LUNES_TARDE_19:15_20:45,"Calle Enrique Larreta, 14"
