IdBiciMad,District,same_as_wikidata_District,Neighborhood,same_as_wikidata_Neighborhood,numPlaces,longitude,latitude,PostalAddress,same_as_wikidata_PostalAddress
89,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,24,-3.6751716,40.4272628,"Calle de Ayala, Madrid",https://wikidata.org/entity/Q28052812
90,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6837297,40.4250878,Calle de Goya,https://wikidata.org/entity/Q28015873
090_ampliacion,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,6,-3.6835613,40.4250791,Calle de Goya,https://wikidata.org/entity/Q28015873
91,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,24,-3.6788203,40.4261113,Calle de Hermosilla,https://wikidata.org/entity/Q28052826
92,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6864821,40.4262237,Claudio Coello Street,https://wikidata.org/entity/Q28059043
93,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6894124,40.4256984,Calle de Goya,https://wikidata.org/entity/Q28015873
94,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,21,-3.6907044,40.4233686,Paseo de Recoletos,https://wikidata.org/entity/Q2550870
95,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6869914,40.4226634,Claudio Coello Street,https://wikidata.org/entity/Q28059043
96,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,27,-3.6820471,40.4220516,Alcalá Street,https://wikidata.org/entity/Q2424746
97,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,27,-3.6801515,40.4224846,"Avenida de Menéndez Pelayo, Madrid",https://wikidata.org/entity/Q28936960
98,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,24,-3.6754079,40.4241911,AVENIDA FELIPE II,
99,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,24,-3.6739638,40.4261048,"Calle de Alcántara, Madrid",https://wikidata.org/entity/Q28070781
100,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,24,-3.6738777,40.4247843,Calle de Goya,https://wikidata.org/entity/Q28015873
101,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,24,-3.6694246,40.4231223,Calle de Jorge Juan,https://wikidata.org/entity/Q28070822
102,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6840806,40.4211552,Alcalá Street,https://wikidata.org/entity/Q2424746
103,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,24,-3.6865351,40.4303733,"Calle de José Ortega y Gasset, Madrid",https://wikidata.org/entity/Q16540548
104,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,21,-3.6895792,40.4267658,Paseo de la Castellana,https://wikidata.org/entity/Q1473674
105,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6874745,40.4270684,Serrano Street,https://wikidata.org/entity/Q5740879
106_a,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,18,-3.6878868,40.4248642,Serrano Street,https://wikidata.org/entity/Q5740879
106_b,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,18,-3.6878604,40.4250085,Serrano Street,https://wikidata.org/entity/Q5740879
107,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,24,-3.6884243,40.4215952,Serrano Street,https://wikidata.org/entity/Q5740879
108,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,27,-3.670653,40.4274425,CALLE LAS MARTIRES CONCEPCIONISTAS,
