Identifier,Description,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address
162728,SITUADO-APARCABICICLETAS-CENTRO-COMERCIAL-MENDEZ-ALVARO,162728,2,Arganzuela,27,Atocha,https://wikidata.org/entity/Q3814594,OPERATIVO,"Retama Street,4"
162739,SITUADO-APARCABICICLETAS-C/V-CALLE-ARIEL,162739,2,Arganzuela,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,"CALLE MENESES,4,4"
163739,SITUADO-APARCABICICLETAS-C.P.-PADRE-POVEDA,163739,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Avenida de Alfonso XIII, Madrid,23"
164052,SITUADO-APARCABICICLETAS-ENTRADA-PARQUE-BERLIN,164052,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,"Avenida de Ramón y Cajal, Madrid,5"
165831,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-ARGANZUELA-PLANETARIO,165831,2,Arganzuela,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,"CALLE BRONCE,,"
166022,SITUADO-APARCABICICLETAS-EN-EL-PLANETARIO,166022,2,Arganzuela,24,Legazpi,https://wikidata.org/entity/Q3773990,OPERATIVO,"Avenida del Planetario,16"
166611,SITUADO-APARCABICICLETAS-AL-LADO-DEL-AYUNTAMIENTO,166611,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"CALLE HERREROS DE TEJADA,7,7"
167171,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-PADRE-DAMIAN,167171,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"Calle del Padre Damián, Madrid,24"
167650,SITUADO-APARCABICICLETAS-ESCUELA-UNIVERSITARIA-DE-DISEÑO,167650,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"Avenida de Alfonso XIII, Madrid,97"
167812,SITUADO-APARCABICICLETAS-JUNTO-A-ZONA-AJARDINADA,167812,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"Calle de Juan Ramón Jiménez, Madrid,9"
168626,SITUADO-APARCABICICLETAS-MINISTERIO-DE-HACIENDA.-METRO-CUZCO,168626,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"Paseo de la Castellana,162"
168705,SITUADO-APARCABICICLETAS-FRENTE-A-EDIFICIO-COMERCIAL,168705,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entity/Q3814573,OPERATIVO,"avenida de Alberto Alcocer,10"
168988,SITUADO-APARCABICICLETAS-PLAZA-REPUBLICA-DOMINICANA,168988,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"calle del Príncipe de Vergara,283"
