StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,Address,Capacity,CoordinatesID,Longitude,Latitude
89,89,"442728,15","4475399,8",89,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Ayala, Madrid,102",24,89,-36.751.716,404.272.628
90,90,"442000,33","4475163,96",90,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Calle de Goya,18",24,90,-36.837.297,404.250.878
090ampliacion,090 ampliacion,"442014,61","4475162,88",090 ampliacion,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Calle de Goya,20",6,090 ampliacion,-36.835.613,404.250.791
91,91,"442417,66","4475274,35",91,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Hermosilla,73",24,91,-36.788.203,404.261.113
92,92,"441767,83","4475291,85",92,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Claudio Coello Street,45",24,92,-36.864.821,404.262.237
93,93,"441518,8","4475235,48",93,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Calle de Goya,3",24,93,-36.894.124,404.256.984
94,94,"441407,18","4474977,73",94,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Paseo de Recoletos,22",21,94,-36.907.044,404.233.686
95,95,"441721,55",4474897,95,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Claudio Coello Street,19",24,95,-36.869.914,404.226.634
96,96,"442140,46","4474825,84",96,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Alcalá Street,111",27,96,-36.820.471,404.220.516
97,97,"442301,64","4474872,66",97,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Avenida de Menéndez Pelayo, Madrid,1",27,97,-36.801.515,404.224.846
98,98,"442705,5","4475058,99",98,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"AVENIDA DE FELIPE II,5,5",24,98,-36.754.079,404.241.911
99,99,"442829,62","4475270,48",99,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Alcántara, Madrid,2",24,99,-36.739.638,404.261.048
