PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
Pontevedra,36,Poio,36041,Cabeceira,Campelo_-_Poio_(San_Xoan),200,Playa_resguardada,Fina,42.422453,-8.6823,http://www.turismo.gal/ficha-recurso?cod_rec=9796
Pontevedra,36,Poio,36041,Xiorto,,300,Playa_resguardada,Fina,42.402889,-8.756639,http://www.turismo.gal/ficha-recurso?cod_rec=9784
Pontevedra,36,Ponte_Caldelas,36820,Praia_fluvial_A_Calzada,Paseo_de_Manuel_Gordo_Boullosa_-_Ponte_Caldelas_(Santa_Eulalia),,,,42.39131,-8.491745,http://www.turismo.gal/ficha-recurso?cod_rec=280383672
Pontevedra,36,Redondela,36045,Cesantes_(dereita),Cesantes_(San_Pedro),,Playa_resguardada,Gruesa,42.304472,-8.616528,http://www.turismo.gal/ficha-recurso?cod_rec=10124
Pontevedra,36,Sanxenxo,36979,Paxararinas,Paxarinas_-_Adina_(Santa_Maria),100,Playa_resguardada,Fina,42.391639,-8.844083,http://www.turismo.gal/ficha-recurso?cod_rec=9753
Pontevedra,36,Sanxenxo,36051,Areas_Gordas,A_Lanzada,250,Playa_abierta,Fina,42.430972,-8.87261,http://www.turismo.gal/ficha-recurso?cod_rec=9746
Pontevedra,36,Sanxenxo,36051,Baltar,Baltar_-_Adina_(Santa_Maria),600,Playa_resguardada,Fina,42.398722,-8.822555,http://www.turismo.gal/ficha-recurso?cod_rec=9778
Pontevedra,36,Sanxenxo,36051,Bascuas,Aios_-_Noalla_(Santo_Estevo),210,Playa_abierta,Fina,42.404139,-8.858139,http://www.turismo.gal/ficha-recurso?cod_rec=9750
Pontevedra,36,Sanxenxo,36051,Canelas,Canelas_-_Adina_(Santa_Maria),400,Playa_abierta,Fina,42.389972,-8.831833,http://www.turismo.gal/ficha-recurso?cod_rec=9754
Pontevedra,36,Sanxenxo,36051,Foxos,A_Lanzada_-_Noalla_(Santo_Estevo),350,Playa_abierta,Fina,42.427138,-8.873694,http://www.turismo.gal/ficha-recurso?cod_rec=9748
Pontevedra,36,Sanxenxo,36051,Major,Major,600,Playa_abierta,Fina,42.413694,-8.866583,http://www.turismo.gal/ficha-recurso?cod_rec=9749
Pontevedra,36,Sanxenxo,36051,Montalvo,Montalvo,900,Playa_abierta,Fina,42.398944,-8.848194,http://www.turismo.gal/ficha-recurso?cod_rec=9751
Pontevedra,36,Sanxenxo,36051,O_Espineiro_-_A_Lanzada,,2300,Playa_abierta,Fina,42.441258,-8.872075,http://www.turismo.gal/ficha-recurso?cod_rec=9739
Pontevedra,36,Sanxenxo,36051,Pragueira,Pragueira,300,Playa_abierta,Fina,42.409472,-8.862528,http://www.turismo.gal/ficha-recurso?cod_rec=10450
Pontevedra,36,Sanxenxo,36051,Silgar,Padrinan_(San_Xenxo),600,Playa_abierta,Fina,42.401472,-8.812917,http://www.turismo.gal/ficha-recurso?cod_rec=9757
Pontevedra,36,Vigo,36057,A_Punta,,200,Playa_resguardada,Fina,42.260028,-8.697027,http://www.turismo.gal/ficha-recurso?cod_rec=17431
Pontevedra,36,Vigo,36057,Argazada,Vigo,410,Playa_resguardada,Fina,42.215944,-8.776055,http://www.turismo.gal/ficha-recurso?cod_rec=30565
Pontevedra,36,Vigo,36057,Canido,Canido_-_Oia_(San_Miguel),300,Playa_resguardada,Fina,42.194139,-8.796805,http://www.turismo.gal/ficha-recurso?cod_rec=10127
Pontevedra,36,Vigo,36057,Figueiras_(Illas_Cies),,300,Playa_abierta,Fina,42.231083,-8.900611,http://www.turismo.gal/ficha-recurso?cod_rec=10481
Pontevedra,36,Vigo,36057,Fontaina,Breadouro_-_Coruxo_(San_Salvador),280,Playa_resguardada,Fina,42.199555,-8.786416,http://www.turismo.gal/ficha-recurso?cod_rec=10508
Pontevedra,36,Vigo,36057,O_Vao,Fontenla_-_Coruxo_(San_Salvador),800,Playa_resguardada,Fina,42.197222,-8.792166,http://www.turismo.gal/ficha-recurso?cod_rec=10126
Pontevedra,36,Vigo,36660,Os_Muinos_-_Fortinon,A_Corveira_-_Saians_(San_Xurxo),150,Playa_resguardada,Fina,42.17461,-8.813806,http://www.turismo.gal/ficha-recurso?cod_rec=10514
Pontevedra,36,Vigo,36005,Rodas_(Illas_Cies),Illas_Cies,1200,Playa_abierta,Fina,42.222916,-8.902917,http://www.turismo.gal/ficha-recurso?cod_rec=10480
Pontevedra,36,Vigo,36057,Tombo_do_Gato,,180,Playa_resguardada,Fina,42.220083,-8.775749,http://www.turismo.gal/ficha-recurso?cod_rec=30566
Pontevedra,36,Vilagarcia_de_Arousa,36060,Bamio,O_Campanario_-_Bamio_(San_Xens),130,Playa_resguardada,Fina,42.632694,-8.7615,http://www.turismo.gal/ficha-recurso?cod_rec=11353
Pontevedra,36,Vilagarcia_de_Arousa,36060,Preguntoiro,Vilaxoan_-_Sobran_(San_Martino),200,Playa_resguardada,Fina,42.585916,-8.790777,http://www.turismo.gal/ficha-recurso?cod_rec=11356
