IDDispenserRubbish,IDDistrict,DistrictName,same_as_wikidata_district,IDNeighborhood,NeighborhoodName,Active,InstallDate,Address,Model
514718,17,Villaverde,https://wikidata.org/entity/Q919536,171,VILLAVERDE ALTO C.H.,OPERATIVO,24/01/2011,CALLE DE PUEBLA DE SANABRIA 3,50_LTS_EX
514795,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,136,NUMANCIA,OPERATIVO,24/01/2011,CALLE DE VENANCIO MARTIN 45,50_LTS_EX
514879,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,132,SAN DIEGO,OPERATIVO,25/01/2011,CALLE DEL CONVENIO 95,50_LTS_EX
515006,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,183,ENSANCHE DE VALLECAS,OPERATIVO,27/01/2011,CALLE DE JOSE GUTIERREZ MAROTO 19,50_LTS_EX
515303,14,Moratalaz,https://wikidata.org/entity/Q2076109,142,HORCAJO,OPERATIVO,03/02/2011,CALLE DE LA PROVENZA 3,50_LTS_EX
515389,4,Salamanca,https://wikidata.org/entity/Q1773521,42,GOYA,OPERATIVO,07/02/2011,CALLE DE AYALA 78,50_LTS_EX
515420,4,Salamanca,https://wikidata.org/entity/Q1773521,41,RECOLETOS,OPERATIVO,08/02/2011,CALLE DE SALUSTIANO OLOZAGA 2,50_LTS_EX
515681,4,Salamanca,https://wikidata.org/entity/Q1773521,46,CASTELLANA,OPERATIVO,14/02/2011,CALLE DE LAGASCA 113,50_LTS_EX
515843,10,Latina,https://wikidata.org/entity/Q794954,107,LAS AGUILAS,OPERATIVO,17/02/2011,CALLE DE SERRADILLA 14B,50_LTS_EX
515993,1,Centro,https://wikidata.org/entity/Q1763376,12,EMBAJADORES,OPERATIVO,18/02/2011,CALLE DE SANTA ISABEL 45,50_LTS_EX
516276,17,Villaverde,https://wikidata.org/entity/Q919536,175,LOS ANGELES,OPERATIVO,21/02/2011,CALLE DE AMPUERO 3,50_LTS_EX
516278,1,Centro,https://wikidata.org/entity/Q1763376,11,PALACIO,OPERATIVO,21/02/2011,CUESTA DE SAN VICENTE 14,50_LTS_EX
516322,17,Villaverde,https://wikidata.org/entity/Q919536,171,VILLAVERDE ALTO C.H.,OPERATIVO,21/02/2011,CALLE DE MARTINEZ SECO 52,50_LTS_EX
516358,16,Hortaleza,https://wikidata.org/entity/Q1928529,162,PIOVERA,OPERATIVO,21/02/2011,AVENIDA DE LOS AHONES 14B,50_LTS_EX
516475,12,Usera,https://wikidata.org/entity/Q953368,123,SAN FERMIN,OPERATIVO,22/02/2011,CALLE DE PERIANA 19,50_LTS_EX
516482,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,VALDEBERNARDO,OPERATIVO,22/02/2011,CALLE DEL PERGAMINO 54,50_LTS_EX
516521,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,VALDEBERNARDO,OPERATIVO,22/02/2011,BULEVAR DE INDALECIO PRIETO 24G,50_LTS_EX
516704,16,Hortaleza,https://wikidata.org/entity/Q1928529,164,PINAR DEL REY,OPERATIVO,22/02/2011,PLAZA DE ALCAUDETE 1641,50_LTS_EX
516770,5,Chamartín,https://wikidata.org/entity/Q1766348,55,NUEVA ESPANA,OPERATIVO,22/02/2011,AVENIDA DE PIO XII 1,50_LTS_EX
516789,5,Chamartín,https://wikidata.org/entity/Q1766348,55,NUEVA ESPANA,OPERATIVO,22/02/2011,CALLE DE MENENDEZ PIDAL 24,50_LTS_EX
516895,17,Villaverde,https://wikidata.org/entity/Q919536,173,BUTARQUE,OPERATIVO,23/02/2011,CALLE DEL CANCHAL 2,50_LTS_EX
516938,21,Barajas,https://wikidata.org/entity/Q807230,213,CASCO H.BARAJAS,OPERATIVO,23/02/2011,CALLE DE AYERBE 16,50_LTS_EX
516942,21,Barajas,https://wikidata.org/entity/Q807230,213,CASCO H.BARAJAS,OPERATIVO,23/02/2011,AVENIDA GENERAL 32,50_LTS_EX
517090,5,Chamartín,https://wikidata.org/entity/Q1766348,56,CASTILLA,OPERATIVO,23/02/2011,CALLE DE MANUEL FERRERO 21,50_LTS_EX
517365,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,134,PALOMERAS SURESTE,OPERATIVO,24/02/2011,CALLE DE MIJAS 18,50_LTS_EX
