Underground_ID,Underground_Name,Same_As_Wikidata_Underground,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
134,Bambu,https://wikidata.org/entity/Q2244021,Calle,del,Bambu,N,14,28036,5,Chamartin,https://wikidata.org/entity/Q1766348,442778,4481108
135,Principe Pio,https://wikidata.org/entity/Q2527066,Paseo,de la,Florida,N,2,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439002,4474950
136,Principe Pio,https://wikidata.org/entity/Q2527066,Paseo,de la,Florida,N,2,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439002,4474946
137,Principe Pio,https://wikidata.org/entity/Q2527066,Paseo,de la,Florida,N,2,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439002,4474942
138,Cuzco,https://wikidata.org/entity/Q2482024,Paseo,de la,Castellana,N,162,28046,5,Chamartin,https://wikidata.org/entity/Q1766348,441619,4479076
139,Santiago Bernabeu,https://wikidata.org/entity/Q2704346,Paseo,de la,Castellana,N,97,28046,5,Chamartin,https://wikidata.org/entity/Q1766348,441569,4478317
140,Puerta del Sur,https://wikidata.org/entity/Q2484406,Avda,de la,Libertad,N,2,28924,2,Arganzuela,https://wikidata.org/entity/Q2000929,431138,4466601
141,Joaquin Vilumbrales,https://wikidata.org/entity/Q528905,Avda,de la,Libertad,N,13,28925,2,Arganzuela,https://wikidata.org/entity/Q2000929,431560,4467108
142,Abrantes,https://wikidata.org/entity/Q2484433,Avda,de,Abrantes,N,77,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,438322,4470489
143,Portazgo,https://wikidata.org/entity/Q2479031,Avda,de la,Albufera,N,131,28018,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,444208,4471756
144,San Blas,https://wikidata.org/entity/Q2482075,Calle,de,Pobladura del Valle,N,27,28037,20,San Blas,https://wikidata.org/entity/Q2001937,447903,4475651
145,Simancas,https://wikidata.org/entity/Q2481349,Calle,del,Castillo de Madrigal de las Altas Torres,N,15,28037,20,San Blas,https://wikidata.org/entity/Q2001937,447033,4475657
146,Pinar de Chamartin,https://wikidata.org/entity/Q921800,Calle,de,Arturo Soria,N,330,28033,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,443592,4481471
147,Pinar de Chamartin,https://wikidata.org/entity/Q921800,Calle,de,Arturo Soria,N,330,28033,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,443595,4481471
148,Opera,https://wikidata.org/entity/Q2736048,Plaza,de,Isabel II,N,9,28013,1,Centro,https://wikidata.org/entity/Q1763376,439930,4474612
149,Opera,https://wikidata.org/entity/Q2736048,Plaza,de,Isabel II,N,9,28013,1,Centro,https://wikidata.org/entity/Q1763376,439936,4474612
150,Plaza Eliptica,https://wikidata.org/entity/Q782113,Plaza,de,Fernandez Ladreda,N,2,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,439145,4470901
151,Avenida de America,https://wikidata.org/entity/Q730768,Avda,de,America,N,9,28002,5,Chamartin,https://wikidata.org/entity/Q1766348,442727,4476804
152,Avenida de America,https://wikidata.org/entity/Q730768,Avda,de,America,N,9,28002,5,Chamartin,https://wikidata.org/entity/Q1766348,442732,4476804
153,Avenida de America,https://wikidata.org/entity/Q730768,Avda,de,America,N,9,28002,5,Chamartin,https://wikidata.org/entity/Q1766348,442737,4476804
154,Manuel Becerra,https://wikidata.org/entity/Q2056869,Plaza,de,Manuel Becerra,N,1,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443340,4475675
155,Cuatro Caminos,https://wikidata.org/entity/Q2420839,Gta,de,Cuatro Caminos,N,2,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,440412,4477814
156,Cuatro Caminos,https://wikidata.org/entity/Q2420839,Gta,de,Cuatro Caminos,N,10,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,440416,4477814
157,Colonia Jardin,https://wikidata.org/entity/Q2060520,Calle,de,Arenas de San Pedro,N,2,28024,10,Latina,https://wikidata.org/entity/Q794954,434373,4472315
158,Parque Oeste,https://wikidata.org/entity/Q2482424,Calle,de,Estambul,N,5,28922,1,Centro,https://wikidata.org/entity/Q1763376,427977,4466703
159,Universidad Rey Juan Carlos station,https://wikidata.org/entity/Q2482419,Calle,,Tulipan,N,2,28933,2,Arganzuela,https://wikidata.org/entity/Q2000929,426025,4465526
160,Pradillo,https://wikidata.org/entity/Q2484445,Calle,de,Agustina de Aragon,N,23,28931,4,Salamanca,https://wikidata.org/entity/Q1773521,426630,4464028
