Column,Column2,File,id_provincia,PROVINCIA,same_as_wikidata_provincia,id_municipio,MUNICIPIO,same_as_wikidata_municipio,ESTACION,ESTACION_NAME,MAGNITUD,MAGNITUD_NAME,DATE,D01,V01
68,68,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-09-01T00:00:00Z,4.0,V
69,69,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-10-01T00:00:00Z,4.0,V
70,70,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-11-01T00:00:00Z,5.0,V
71,71,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,1,Dioxido de Azufre (ug/m3),2018-12-01T00:00:00Z,8.0,V
72,72,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-01-01T00:00:00Z,0.3,V
73,73,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-02-01T00:00:00Z,0.6,V
74,74,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-03-01T00:00:00Z,0.3,V
75,75,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-04-01T00:00:00Z,0.3,V
76,76,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-05-01T00:00:00Z,0.3,V
77,77,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-06-01T00:00:00Z,0.4,V
78,78,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-07-01T00:00:00Z,0.2,V
79,79,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-08-01T00:00:00Z,0.5,V
80,80,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-09-01T00:00:00Z,0.3,V
81,81,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-10-01T00:00:00Z,0.3,V
82,82,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-11-01T00:00:00Z,0.4,V
83,83,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,6,Monoxido de Carbono (mg/m3),2018-12-01T00:00:00Z,0.5,V
84,84,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-01-01T00:00:00Z,13.0,V
85,85,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-02-01T00:00:00Z,85.0,V
86,86,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-03-01T00:00:00Z,17.0,V
87,87,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-04-01T00:00:00Z,9.0,V
88,88,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-05-01T00:00:00Z,4.0,V
89,89,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-06-01T00:00:00Z,31.0,V
90,90,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-07-01T00:00:00Z,6.0,V
91,91,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-08-01T00:00:00Z,23.0,V
92,92,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-09-01T00:00:00Z,12.0,V
93,93,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-10-01T00:00:00Z,8.0,V
94,94,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-11-01T00:00:00Z,41.0,V
