EXPEDIENTE,DATETIME,CALLE,CALLEWIKIDATA,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S003061,2021-02-26T19:50:00ZZ,Paseo_de_las_Acacias_Madrid,https://wikidata.org/entity/Q55947263,20,Arganzuela,Caída,Despejado,Bicicleta,10083,Conductor,De 40 a 44 años,Hombre,7
2021S003197,2021-04-03T11:30:00ZZ,AVENIDA_MARTIRES_MARISTAS,,2E,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10084,Conductor,Más de 74 años,Hombre,3
2021S003207,2021-04-03T15:30:00ZZ,Calle_de_Bravo_Murillo,https://wikidata.org/entity/Q5740815,145,Tetuan,Colisión múltiple,Despejado,Bicicleta,10085,Conductor,De 25 a 29 años,Hombre,2
2021S003209,2021-04-03T15:35:00ZZ,CALLE_FLORENCIO_CANO_CRISTOBAL,,14,Moratalaz,Colisión fronto-lateral,Despejado,Bicicleta,10086,Conductor,De 15 a 17 años,Hombre,14
2021S003217,2021-03-03T17:09:00ZZ,CALLE_BRUJAS,,3A,Moratalaz,Atropello a persona,Despejado,Bicicleta,10087,Conductor,De 50 a 54 años,Hombre,14
2021S003217,2021-03-03T17:09:00ZZ,CALLE_BRUJAS,,3A,Moratalaz,Atropello a persona,Despejado,Bicicleta,10088,Peatón,Menor de 5 años,Hombre,6
2021S003345,2021-06-03T13:35:00ZZ,Avenida_Buenos_Aires,https://wikidata.org/entity/Q9639613,101,Puente_de_Vallecas,Caída,Despejado,Bicicleta,10089,Conductor,De 50 a 54 años,Mujer,6
2021S003348,2021-05-03T21:51:00ZZ,calle_del_Torpedero_Tucuman,https://wikidata.org/entity/Q29397139,24,Chamartin,Caída,Despejado,Bicicleta,10090,Conductor,De 18 a 20 años,Hombre,1
2021S003383,2021-06-03T01:12:00ZZ,Calle_de_Toledo,https://wikidata.org/entity/Q5740883,50,Centro,Colisión fronto-lateral,Lluvia débil,Bicicleta,10091,Conductor,De 25 a 29 años,Hombre,1
2021S003420,2021-07-03T14:20:00ZZ,Gran_Via,https://wikidata.org/entity/Q1324163,56,Centro,Alcance,Despejado,Bicicleta,10092,Conductor,De 25 a 29 años,Hombre,
2021S003426,2021-06-03T16:40:00ZZ,Calle_de_Juan_Bravo_Madrid,https://wikidata.org/entity/Q28054647,15,Salamanca,Colisión fronto-lateral,Despejado,Bicicleta,10093,Conductor,De 35 a 39 años,Hombre,7
2021S003456,2021-07-03T12:10:00ZZ,CALLE_VALLE_DE_MENA,,14,Fuencarral-El_Pardo,Caída,Despejado,Bicicleta,10094,Conductor,De 25 a 29 años,Mujer,7
2021S003470,2021-07-03T12:44:00ZZ,CAMINO_ARROYO_DE_VALDEBEBAS,,9,Hortaleza,Colisión frontal,Despejado,Bicicleta,10095,Conductor,De 35 a 39 años,Hombre,7
2021S003470,2021-07-03T12:44:00ZZ,CAMINO_ARROYO_DE_VALDEBEBAS,,9,Hortaleza,Colisión frontal,Despejado,Bicicleta,10096,Conductor,De 40 a 44 años,Hombre,7
2021S003486,2021-08-03T17:03:00ZZ,Paseo_de_la_Reina_Cristina_Madrid,https://wikidata.org/entity/Q29051319,15,Retiro,Alcance,Lluvia débil,Bicicleta,10097,Conductor,De 40 a 44 años,Hombre,2
2021S003555,2021-09-03T18:30:00ZZ,avenida_del_Mediterraneo,https://wikidata.org/entity/Q57739480,136,Villa_de_Vallecas,Caída,Despejado,Bicicleta,10098,Conductor,De 40 a 44 años,Hombre,3
2021S003556,2021-04-03T15:58:00ZZ,PLAZA_BEATA_MARIA_ANA_DE_JESUS,,1,Arganzuela,Colisión lateral,Despejado,Bicicleta,10099,Conductor,De 50 a 54 años,Hombre,1
2021S003640,2021-10-03T07:54:00ZZ,Calle_de_Mateo_Inurria_Madrid,https://wikidata.org/entity/Q26821557,58,Chamartin,Caída,Despejado,Bicicleta,10100,Conductor,De 55 a 59 años,Hombre,7
