id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,id_coordenadas,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270360388,SALAMANCA,GUINDALERA,4 GLORIETA CAMPANAR,4-GLORIETA-CAMPANAR,28028,443398.58,4475827.5,443398.58-4475827.5,Abierto,CAFETERA JARA,Anual,Abierta,"17,62","17,62",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,9,9
270507681,SALAMANCA,GOYA,140 CALLE ALCALA,140-CALLE-ALCALA,28009,443155.58,4475394.5,443155.58-4475394.5,Abierto,CAFETERIA NUMAR,Anual,Abierta,"16,22","16,22",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
270440167,SALAMANCA,GOYA,10 AVENIDA FELIPE II,10-AVENIDA-FELIPE-II,28009,442620.58,4475018.51,442620.58-4475018.51,Abierto,CAFETERIA EL TREBOL,Anual,Abierta,"45,85","45,85",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,29,29
50001969,CHAMARTIN,CASTILLA,274 PASEO CASTELLANA,274-PASEO-CASTELLANA,28046,441808.61,4480633.53,441808.61-4480633.53,Abierto,RODILLA,Anual,Abierta,"35,4","35,4",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,12,12
270017643,ARGANZUELA,PALOS-DE-MOGUER,34 PASEO SANTA MARIA DE LA CABEZA,34-PASEO-SANTA-MARIA-DE-LA-CABEZA,28045,440916.58,4472888.52,440916.58-4472888.52,Abierto,CERVECERÍA MAVI,Anual,Abierta,"35,1","35,1",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,10,10
270193865,ARGANZUELA,PALOS-DE-MOGUER,56 PASEO SANTA MARIA DE LA CABEZA,56-PASEO-SANTA-MARIA-DE-LA-CABEZA,28045,440728.59,4472625.52,440728.59-4472625.52,Abierto,CERVECERIA HAVANA BLUES,Anual,Abierta,"41,16","41,16",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,12,12
270054570,ARGANZUELA,ACACIAS,2 RONDA TOLEDO,2-RONDA-TOLEDO,28005,439673.59,4473101.53,439673.59-4473101.53,Abierto,BAR EL PESCADOR CERVECERIA,Anual,Abierta,"45,29","45,29",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,14,14
20001073,ARGANZUELA,CHOPERA,15 CALLE TORRES MIRANDA,15-CALLE-TORRES-MIRANDA,28045,440598.58,4472172.52,440598.58-4472172.52,Abierto,CAFETERIA TRANSMONTANO,Anual,Abierta,"10,4","10,4",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,4,4
270405399,ARGANZUELA,PALOS-DE-MOGUER,10 CALLE TORTOSA,10-CALLE-TORTOSA,28045,441274.58,4473055.52,441274.58-4473055.52,Abierto,ARROCERIA PUERTA DE ATOCHA,Anual,Abierta,"16,48","16,48",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
20000492,ARGANZUELA,IMPERIAL,47 PASEO VIRGEN DEL PUERTO,47-PASEO-VIRGEN-DEL-PUERTO,28005,438821.6,4473410.54,438821.6-4473410.54,Abierto,POR DEFINIR,Anual,Abierta,"25,92","25,92",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,8,8
270531806,ARGANZUELA,IMPERIAL,61 PASEO VIRGEN DEL PUERTO,61-PASEO-VIRGEN-DEL-PUERTO,28005,438733.6,4472973.54,438733.6-4472973.54,Abierto,LA ESQUINA DEL CALDERON,Anual,Abierta,"24,93","24,93",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
20000708,ARGANZUELA,ACACIAS,15 PASEO YESERIAS,15-PASEO-YESERIAS,28005,439701.59,4472413.53,439701.59-4472413.53,Abierto,TABERNA FANTASTICA,Anual,Abierta,"59,95","28,45",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,19,9
270378436,ARGANZUELA,ACACIAS,33 PASEO YESERIAS,33-PASEO-YESERIAS,28005,439886.59,4472225.53,439886.59-4472225.53,Abierto,CAFE DOMAR,Anual,Abierta,"16,38","16,38",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,7,7
270543893,VILLA-DE-VALLECAS,CASCO-H.VALLECAS,5 CALLE CULLA,5-CALLE-CULLA,28031,447432.52,4468996.43,447432.52-4468996.43,Abierto,BAR LAS TAPAS,Anual,Abierta,"51,84","51,84",Bulevar,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,16,16
270543037,FUENCARRAL-EL-PARDO,VALVERDE,21 CALLE TOQUES,21-CALLE-TOQUES,28050,443418.63,4484493.52,443418.63-4484493.52,Abierto,GOIKO GRILL,Anual,Abierta,"40,74","40,74",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,11,11
