id_local,desc_distrito_local,distritos_wikidata,desc_barrio_local,barrios_wikidata,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra,Latitud,Coordenadas finales,Longitud
270314735,Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,94 AVENIDA LOS ROSALES,94_AVENIDA_LOS_ROSALES,28021,"442293,53","442293,53-4467170,49","4467170,49",Abierto,RESTAURANTE SALINAS PROSPERIDAD III,Anual,Abierta,"90,57","90,57",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,14,8,40.35308,"40.35308,-3.67949",-3.67949
170000009,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,78 CALLE LA DEL MANOJO DE ROSAS,78_CALLE_LA_DEL_MANOJO_DE_ROSAS,28041,"440729,54","440729,54-4467406,51","4467406,51",Abierto,JOSE,Anual,Abierta,27,27,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,7,7,40.3552355,"40.3552355,-3.6979271",-3.6979271
270182385,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,48 CALLE SAHARA,48_CALLE_SAHARA,28041,"441185,54","441185,54-4467321,51","4467321,51",Abierto,EL PORTON,Anual,Abierta,"99,77","99,77",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21,40.354424,"40.354424,-3.6926131",-3.6926131
270418033,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,6 PLAZA CHOZAS DE CANALES,6_PLAZA_CHOZAS_DE_CANALES,28021,"441338,53","441338,53-4467062,5","4467062,5",Abierto,PLAZA II,Anual,Abierta,"32,4","32,4",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,18,18,40.3520531,"40.3520531,-3.6907345",-3.6907345
270033353,Villaverde,https://www.wikidata.org/wiki/Q919536,San Cristóbal,https://www.wikidata.org/wiki/Q390457,9 CALLE ROCAFORT,9_CALLE_ROCAFORT,28021,"441482,52","441482,52-4465904,5","4465904,5",Abierto,BAR PIRATA,Anual,Abierta,77,77,Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21,40.3415608,"40.3415608,-3.6899947",-3.6899947
20000100,Arganzuela,https://www.wikidata.org/wiki/Q2000929,La Chopera,https://www.wikidata.org/wiki/Q3773750,132 PASEO DELICIAS,132_PASEO_DELICIAS,28045,"441013,58","441013,58-4471631,52","4471631,52",Abierto,CERVECERIA LA LASTRA,Anual,Abierta,"17,36","17,36",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,6,6,40.39325,"40.39325,-3.695",-3.695
20000172,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Palos de Moguer,https://www.wikidata.org/wiki/Q521009,28 CALLE ANCORA,28_CALLE_ANCORA,28045,"441427,58","441427,58-4472681,52","4472681,52",Abierto,BAR SORIA,Anual,Abierta,"37,41","37,41",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,9,0,40.4026573,"40.4026573,-3.6903342",-3.6903342
20001101,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Imperial,https://www.wikidata.org/wiki/Q3773740,53 PASEO IMPERIAL,53_PASEO_IMPERIAL,28005,"439273,59","439273,59-4472845,53","4472845,53",Abierto,CERVECERIA CANTALEJO RESTAURANTE,Anual,Abierta,"47,81","47,81",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,17,0,40.4040102,"40.4040102,-3.7156435",-3.7156435
270267597,Arganzuela,https://www.wikidata.org/wiki/Q2000929,La Chopera,https://www.wikidata.org/wiki/Q3773750,11 CALLE JAIME EL CONQUISTADOR,11_CALLE_JAIME_EL_CONQUISTADOR,28045,"440774,58","440774,58-4472081,52","4472081,52",Abierto,BAR ORENSE,Anual,Abierta,"12,96","12,96",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,4,4,40.3973033,"40.3973033,-3.6978569",-3.6978569
20001080,Arganzuela,https://www.wikidata.org/wiki/Q2000929,La Chopera,https://www.wikidata.org/wiki/Q3773750,15 CALLE JAIME EL CONQUISTADOR,15_CALLE_JAIME_EL_CONQUISTADOR,28045,"440768,58","440768,58-4472030,52","4472030,52",Abierto,BAR EL CONQUISTADOR,Anual,Abierta,"37,87","37,87",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,12,0,40.3966926,"40.3966926,-3.6979481",-3.6979481
270055919,Arganzuela,https://www.wikidata.org/wiki/Q2000929,La Chopera,https://www.wikidata.org/wiki/Q3773750,29 CALLE JAIME EL CONQUISTADOR,29_CALLE_JAIME_EL_CONQUISTADOR,28045,"440749,58","440749,58-4471854,52","4471854,52",Abierto,CAFETERIA LOA,Anual,Abierta,"27,93","27,93",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,0,40.3950764,"40.3950764,-3.6981729",-3.6981729
200001508,San Blas,https://www.wikidata.org/wiki/Q2001937,Simancas,https://www.wikidata.org/wiki/Q10371626,49 CALLE VALDECANILLAS,49_CALLE_VALDECANILLAS,28037,"446973,56","446973,56-4475983,45","4475983,45",Abierto,LA SEDE D'ANDRUBEN,Anual,Abierta,"45,22","45,22",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,14,14,40.4327542,"40.4327542,-3.625062",-3.625062
270458555,Usera,https://www.wikidata.org/wiki/Q953368,Moscardó,https://www.wikidata.org/wiki/Q11937679,14 CALLE EUGENIO CAXES,14_CALLE_EUGENIO_CAXES,28026,"440325,58","440325,58-4471467,52","4471467,52",Abierto,"EL RINCON DE SIXTO,",Anual,Abierta,"39,06","39,06",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,11,20,40.3917597,"40.3917597,-3.7029689",-3.7029689
270524837,Usera,https://www.wikidata.org/wiki/Q953368,Moscardó,https://www.wikidata.org/wiki/Q11937679,137 CALLE ANTONIO LOPEZ,137_CALLE_ANTONIO_LOPEZ,28026,"440615,58","440615,58-4471127,52","4471127,52",Abierto,BAR RESTAURANTE,Anual,Abierta,"31,35","31,35",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,6,40.38862,"40.38862,-3.6996511",-3.6996511
